PB1_vRNA_100.0:100.0	487.0
PB1_vRNA_100.0:1022.0	0.0
PB1_vRNA_100.0:1072.0	0.0
PB1_vRNA_100.0:1122.0	0.0
PB1_vRNA_100.0:1169.0	11.0
PB1_vRNA_100.0:125.0	1158.0
PB1_vRNA_100.0:1269.0	3.0
PB1_vRNA_100.0:1369.0	0.0
PB1_vRNA_100.0:1469.0	56.0
PB1_vRNA_100.0:150.0	49164.0
PB1_vRNA_100.0:1569.0	0.0
PB1_vRNA_100.0:1669.0	0.0
PB1_vRNA_100.0:175.0	8175.0
PB1_vRNA_100.0:200.0	5207.0
PB1_vRNA_100.0:225.0	7692.0
PB1_vRNA_100.0:250.0	2712.0
PB1_vRNA_100.0:275.0	2793.0
PB1_vRNA_100.0:300.0	3775.0
PB1_vRNA_100.0:325.0	2606.0
PB1_vRNA_100.0:350.0	3258.0
PB1_vRNA_100.0:375.0	2878.0
PB1_vRNA_100.0:400.0	732.0
PB1_vRNA_100.0:425.0	2331.0
PB1_vRNA_100.0:450.0	396.0
PB1_vRNA_100.0:475.0	14836.0
PB1_vRNA_100.0:500.0	850.0
PB1_vRNA_100.0:525.0	342.0
PB1_vRNA_100.0:550.0	367.0
PB1_vRNA_100.0:575.0	153.0
PB1_vRNA_100.0:600.0	223.0
PB1_vRNA_100.0:622.0	10.0
PB1_vRNA_100.0:672.0	0.0
PB1_vRNA_100.0:722.0	93.0
PB1_vRNA_100.0:75.0	1.0
PB1_vRNA_100.0:772.0	31.0
PB1_vRNA_100.0:822.0	0.0
PB1_vRNA_100.0:872.0	5.0
PB1_vRNA_100.0:922.0	22.0
PB1_vRNA_100.0:972.0	0.0
PB1_vRNA_1022.0:100.0	0.0
PB1_vRNA_1022.0:1122.0	0.0
PB1_vRNA_1022.0:125.0	4.0
PB1_vRNA_1022.0:150.0	11.0
PB1_vRNA_1022.0:1569.0	0.0
PB1_vRNA_1022.0:175.0	21.0
PB1_vRNA_1022.0:1969.0	9.0
PB1_vRNA_1022.0:200.0	42.0
PB1_vRNA_1022.0:225.0	0.0
PB1_vRNA_1022.0:250.0	0.0
PB1_vRNA_1022.0:275.0	0.0
PB1_vRNA_1022.0:300.0	0.0
PB1_vRNA_1022.0:325.0	84.0
PB1_vRNA_1022.0:350.0	28.0
PB1_vRNA_1022.0:425.0	0.0
PB1_vRNA_1022.0:450.0	0.0
PB1_vRNA_1022.0:475.0	0.0
PB1_vRNA_1022.0:550.0	0.0
PB1_vRNA_1022.0:722.0	0.0
PB1_vRNA_1022.0:75.0	4.0
PB1_vRNA_1022.0:922.0	0.0
PB1_vRNA_1072.0:100.0	0.0
PB1_vRNA_1072.0:150.0	0.0
